Прайс на дату: 10.03.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
"Капучино цукерки 1,5кг КФ""Стимул""(416)";кг;1.5;77.56;116.34;4.50;3.00
"Карамель м`яка ""Tofisha"" 1,8кг КФ""Стимул""(781)";кг;1.8;60.61;109.09;36.00;20.00
"Козинак Соняшник 1,5кг КФ""Стимул""(395)";кг;1.5;74.77;112.16;21.00;14.00
"Козинак Соняшник 2,5кг КФ""Стимул""(707)";кг;2.5;60.28;150.70;2.50;1.00
"Компот желейні глазур. цукер.3,0кгКФ""Стимул""(480)";кг;3;82.23;246.68; ; 
"Корівка цукерки"" 1,5кг КФ""Стимул""(620)";кг;1.5;64.13;96.19;4.50;3.00
"Лукум східні солодощі 1,3кг КФ""Стимул""(311)";кг;1.3;68.47;89.01;1.30;1.00
"Мармелад ""Желейн. формов."" 1,9кг КФ""Стимул""(281)";кг;1.9;56.02;106.44;87.40;46.00
"Мармелад ""Лимон-апельс дольк""1,8кг КФ""Стимул""(283)";кг;1.8;57.49;103.49;12.60;7.00
"Мармелад ""Равлик"" 3,0кг КФ""Стимул""(14)";кг;3;58.80;176.41;27.00;9.00
"Мармелад ""Славутич"" 2,7кг КФ""Стимул""(93)";кг;2.7;56.76;153.24;16.20;6.00
"Мармелад ""Цитрус"" 0,95кг КФ""Стимул""(450)";кг;0.95;93.12;88.46; ; 
"Мармелад ""Ягідка"" 1,5кг КФ""Стимул""(69)";кг;1.5;99.67;149.51;6.00;4.00
"Мармелад""Желейн. форм. глаз"" 1,5кг КФ""Стимул""(287)";кг;1.5;67.98;101.97;9.00;6.00
"Оксамитова ніч цукерки1,7кг КФ""Стимул""(703)";кг;1.7;116.87;198.68;6.80;4.00
"Празька глазуров. цукерк. 1,5кг КФ""Стимул""(810)";кг;1.5;81.74;122.60;16.50;11.00
"Рахат-лукум асорті 2,5кг КФ""Стимул""(402)";кг;2.5;53.81;134.52;32.50;13.00
"Ромашка Стим. цук. глаз. пом.1,7кг КФ""Стимул""(455)";кг;1.7;65.77;111.80; ; 
"Ромашка Стим. цук. глаз. пом.3,6кг КФ""Стимул""(475)";кг;3.6;65.27;234.99; ; 
"Світ Суфле глазур. цукерк. 2.2кг КФ""Стимул""(712)";кг;2.2;89.52;196.94;24.20;11.00
"Солоденька Му мол-жел. цук. 1,7кг КФ""Стимул""(608)";кг;1.7;67.81;115.28; ; 
"Сонячн. Віночок цукер. 2кг КФ""Стимул""(132)";кг;2;79.85;159.71; ; 
"Столичні цукерки"" 1,35кг КФ""Стимул""(313)";кг;1.35;90.09;121.62; ; 
"Стріла Дніпровська цукер. 1,1кг КФ""Стимул""(321)";кг;1.1;101.56;111.71;38.50;35.00
"Стріла Дніпровська. цукер. 2кг КФ""Стимул""(88)";кг;2;100.25;200.49; ; 
"Цук глаз. із зірв.круп НAPPY 2.2кг КФ""Стимул""(812)";кг;2.2;107.78;237.12;35.20;16.00
"Цук. глаз. пом - жел. ""Боне"" 1,7кг КФ""Стимул""(725)";кг;1.7;103.11;175.29;37.40;22.00
"Цук. двош. пом - жел. ""Kiss"" 1,8кг КФ""Стимул""(800)";кг;1.8;98.94;178.08;9.00;5.00
"Цук.Мол-жел з арах. WOW глаз.1,3кг КФ""Стимул""(672)";кг;1.3;84.42;109.75;20.80;16.00
"Цукерковий набір 3,6 кг КФ""Стимул""(459)";кг;3.6;85.83;308.99; ; 
я Фасовка;;;;;;
"Драже желейн.""Like Холодок""фас. КФ""Стимул""(649)";шт;1;3.69;3.69;57.00;57.00
"Драже""Like Арах.у как-пор."" 0,05кг КФ""Стимул""(647)";шт;1;4.50;4.50;36.00;36.00
"Драже""Like Арахіс Рижик"" 0,05кг КФ""Стимул""(670)";шт;1;4.26;4.26;42.00;42.00
"Драже""Like Веселка"" 0,06кг КФ""Стимул""(669)";шт;1;5.00;5.00;36.00;36.00
"Драже""Like Мікс"" 0,05кг КФ""Стимул""(650)";шт;1;3.52;3.52;40.00;40.00
"Драже""Like Морськ. камінц"" 0,06кг КФ""Стимул""(648)";шт;1;4.83;4.83;76.00;76.00
"Еспресо цукерки 0,175кг КФ""Стимул""(333)";шт;1;20.48;20.48;15.00;15.00
"Стріла Дніпровська цукер. 0,235кг КФ""Стимул""(318)";шт;1;51.02;51.02;7.00;7.00
Стимул АКЦІЯ;;;;;;
"Гулівер цукерки 3,0кг КФ""Стимул""(337)";кг;3;65.55;196.65;195.00;65.00
ТМ R&V(леденец);;;;;;
АКЦІЯ Льодяник Монпасье туб 30г (6шт/1уп) /ТМ R&V;блок;1;0.01;0.01;8.00;8.00
Асорті кольорове (60шт/1уп) /ТМ R&V;блок;1;246.25;246.25;8.00;8.00
Букви 30г 2-ох кол. (30шт/1уп) /ТМ R&V;блок;1;126.04;126.04;16.00;16.00
Дін Дон  в тубусі 30г (12шт/1уп) /ТМ R&V;блок;1;48.62;48.62;35.00;35.00
Зайчики кольорові  30г (30шт/1уп) /ТМ R&V;блок;1;118.24;118.24;21.00;21.00
Зайчики кольорові  30г (60шт/1уп) /ТМ R&V;блок;1;231.66;231.66;8.00;8.00
Звірята 1уп.  (60шт/1уп) /ТМ R&V;блок;1;231.66;231.66;8.00;8.00
Звірята 30г (30шт/1уп) /ТМ R&V;блок;1;118.24;118.24;13.00;13.00
ЛІХТАРИКИ вагові 1кг/ТМ R&V;блок;1;103.74;103.74;19.00;19.00
Льодяник кольор.СМАЙЛИК 30г (30шт/1уп) /ТМ R&V;блок;1;118.24;118.24;7.00;7.00
Льодяник кольор.СМАЙЛИК 30г (40шт/1уп) /ТМ R&V;блок;1;153.92;153.92;9.00;9.00
Льодяник Монпасье 0,9кг (12шт) /ТМ R&V;блок;1;44.69;44.69;9.00;9.00
Льодяник Монпасье 100г (9шт/1уп) /ТМ R&V;блок;1;110.21;110.21;23.00;23.00
Льодяник Монпасье 30г (36шт/1уп) /ТМ R&V;блок;1;146.86;146.86;29.00;29.00
Льодяник Монпасье в тубусі 30г (12шт/1уп) /ТМ R&V;блок;1;48.95;48.95;32.00;32.00
Льодяник-ЛІХТАРИКИ відерце 12г (150шт/1уп) /ТМ R&V;блок;1;232.70;232.70;6.00;6.00
Льодяник-ЛІХТАРИКИ жаба 12г (100шт/1уп) /ТМ R&V;блок;1;157.30;157.30;9.00;9.00
Льодяник-ЛІХТАРИКИ кошичокМ 12г(150шт/1уп) /ТМ R&V;блок;1;204.75;204.75;2.00;2.00
Льодяник-ЛІХТАРИКИ самоскид 12г(150шт/1уп) /ТМ R&V;блок;1;206.05;206.05;7.00;7.00
Льодяник-ЛІХТАРИКИ тубус 12г (140шт/1уп) /ТМ R&V;блок;1;118.30;118.30;16.00;16.00
Мемедики 30г (30шт/1уп) /ТМ R&V;блок;1;118.24;118.24;24.00;24.00
Мемедики 30г (60шт/1уп) /ТМ R&V;блок;1;231.66;231.66;9.00;9.00
Півники 30г (30шт/1уп) /ТМ R&V;блок;1;118.24;118.24;23.00;23.00
Півники 80г + іграшка  (30шт/1уп) /ТМ R&V;блок;1;438.75;438.75;20.00;20.00
Півники двохкольорові 30г (30шт/1уп) /ТМ R&V;блок;1;126.04;126.04;14.00;14.00
Ромашка 2-ох кол. 40г (40шт/1уп) /ТМ R&V;блок;1;219.08;219.08;9.00;9.00
Серце 55г (15шт/1уп) /ТМ R&V;блок;1;99.75;99.75;24.00;24.00
Фіксики 40г (40шт/1уп) /ТМ R&V;блок;1;182.52;182.52;11.00;11.00
Фараон;;;;;;
Драже JOJO Любов це СМС  3гр*36бл*60штФараон;блок;1;41.06;41.06;10.00;10.00
Драже JOJO Помадка Мікс 12гр*24бл*24штФараон;блок;1;101.43;101.43;6.00;6.00
Драже Арас Тубус Фіксики 12гр*12бл*24штФараон;блок;1;87.64;87.64; ; 
Драже Веселка Саадет тубус 12гр*12бл*24штФараон;блок;1;69.59;69.59;7.00;7.00
Драже Лав Бон (Тік-Так) Арас 14гр*24бл*18штФараон;блок;1;54.64;54.64;8.00;8.00
Драже Олівець з драж Фелікс 15гр*12бл*24штФараон;блок;1;109.24;109.24;11.00;11.00
Драже Це Це Бон у блистері 22гр*12бл*24штФараон;блок;1;119.04;119.04;9.00;9.00
Жув цук Лімбо Асорті м'яка 20гр*8 бан*40штФараон;блок;1;137.35;137.35;5.00;5.00
Жув цук Шокер Супер кислий 10г*60шт*18бл Фараон;блок;1;127.00;127.00;15.00;15.00
Жувал. цук. Фрутишка Саадет25гр*12бл.*24шт. Фараон;блок;1;80.88;80.88;7.00;7.00
Жуйка Love is Полуниця-Банан Кент 4,2гр*20бл*100шт;блок;1;114.70;114.70;19.00;19.00
Жуйка Волшеб. Шарики КАВУН 500гр*12бл Фараон;блок;1;93.40;93.40;9.00;9.00
Жуйка- Краска Бай Балон Полуниця 6гр*24бл*40шт;блок;1;60.02;60.02;1.00;1.00
Жуйка Крезі з великою ТАТУ  2,5гр*24бл*100штФараон;блок;1;56.12;56.12;23.00;23.00
Жуйка ЛюбовЦе Кокос-Ананас4,2гр*20бл*100штФараон;блок;1;58.02;58.02;20.00;20.00
Жуйка Монстер Шок Ожина 3,5гр*20бл*100шт;блок;1;70.59;70.59;1.00;1.00
Жуйка Монстер Шок Полуниця 3,5гр*20бл*100шт;блок;1;70.59;70.59;2.00;2.00
Жуйка Назар Асорті 5гр*20бл*100шт Фараон;блок;1;92.38;92.38;1.00;1.00
Жуйка О Фреш Банка Асорті 5гр*8бан*200шт Фараон;блок;1;217.35;217.35;3.00;3.00
Жуйка О Фреш Дисплей  Асорті 5гр*40бл*50шт Фараон;блок;1;51.08;51.08;24.00;24.00
Жуйка Олівець Райдуга 15гр*12бл*24шт Фараон;блок;1;105.82;105.82;10.00;10.00
Жуйка Шок Шок Вишня 4гр*20бл*100шт Фараон;блок;1;67.81;67.81;18.00;18.00
Жуйка Шок Шок Лимон 4гр*20бл100шт Фараон;блок;1;69.64;69.64;11.00;11.00
Жуйка-пласт. Pepermint 3,5гр*12бл*100штФараон;блок;1;88.23;88.23;11.00;11.00
Жуйка-пласт. Повергум Полуниця3гр*6бан*300штФараон;блок;1;219.77;219.77;5.00;5.00
Зефір-Сердце Love is Зеф. люб 10г*20бл*30шт Фараон;блок;1;134.89;134.89;4.00;4.00
Кислиця Асорті Саадет 3,5гр*20бл*100штФараон;блок;1;65.54;65.54;10.00;10.00
Кислиця Кавун Саадет 3,5гр*20бл*100штФараон;блок;1;70.58;70.58;12.00;12.00
Мармеладна Пал. Асор БЕЗ ЦУКР10гр*8бл*150шт Фараон;блок;1;189.47;189.47; ; 
Мармеладна Палочк МІКС КИСЛА 7гр*12бл*86шт Фараон;блок;1;81.63;81.63;9.00;9.00
Модная Корона LOL + фрук.драж. 2г*12бл.*24шт/Фарао;блок;1;294.90;294.90; ; 
Модное Кольцо LOL + фрук.драж. 2г*12бл.*36шт/Фарао;блок;1;245.40;245.40; ; 
Піца Сюрп.(шок, печ,+іграш) 15гр*12бл*24шт Фараон;блок;1;191.59;191.59;5.00;5.00
Плас.М`яч Крейзі BOLL з сюрп,цук 90г*6бл*6штФараон;блок;1;289.58;289.58;1.00;1.00
Ц-ка на пал.Парті Тайм Ананас 16гр*6бл*100штФарао;блок;1;206.21;206.21;3.00;3.00
Ц-ка на пал.Супер Гум Асорті 16гр*6бл*100штФарао;блок;1;204.49;204.49;4.00;4.00
Цукерка Браслет-Соска 8гр*6бл*100штФараон;блок;1;255.02;255.02;1.00;1.00
Цукерка на палочці ФІТО (банка)10гр*6бл*120штФарао;блок;1;153.05;153.05;5.00;5.00
Яйце cюрприз Асорті ANL25гр*6бл*24шт Фараон;блок;1;124.53;124.53;4.00;4.00
Яйце King Egg LOVE is 15гр*12бл*24шт Фараон;блок;1;151.87;151.87;9.00;9.00
Яйце проз.плас арас Метелики 10г*6бл*12шт Фараон;блок;1;228.62;228.62;2.00;2.00
Яйце проз.плас арас Модн. Малюк10г*6бл*12шт Фараон;блок;1;228.62;228.62;2.00;2.00
ШОКОЛАДНО;;;;;;
Angello ц-ки з ціл.мигд. ф/п 1,7кг Шоколадно 6 мес;кг;1.7;143.00;243.10;17.00;10.00
Cream Манго цукерки вагові 1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;13.50;9.00
Cream Полуниці цукерки вагові1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;1.50;1.00
Cream Тоффі цукерки вагові1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47; ; 
Cream Шампанськ цукерк.вагові1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;13.50;9.00
Crocant цукерки вагові 1,7кг Шоколадно 6 мес;кг;1.7;91.26;155.14;27.20;16.00
Don noir цукерки ваг. 1,7кг Шоколадно 6 мес;кг;1.7;143.00;243.10;6.80;4.00
Natella Golden nuts ц-ки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;98.22;166.98;30.60;18.00
Natella цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;107.18;182.21; ; 
Praline Coffee Cream ц-ки ф/п 1.5 кг Шоколадно;кг;1.5;102.31;153.47; ; 
Provance цукерки ф/п 1.7 кг Шоколадно;кг;1.7;107.18;182.21; ; 
Sherry Апельс.трюфель ц- ки 1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47; ; 
Sherry Вишнев.трюфель ц- ки 1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47; ; 
Shoki  ц- ки (вагові) 2,0кг Шоколадно 6 мес;кг;2;85.06;170.12;4.00;2.00
Smaki  ц- ки (вагові) 2,0кг Шоколадно 6 мес;кг;2;85.06;170.12;10.00;5.00
VinSento цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;99.57;169.27; ; 
Ананасна цукерки (вагові)1,5кг Шоколадно 6 мес;кг;1.5;65.00;97.50;78.00;52.00
Асорті Грильяж. цукер вагові 1,0кг Шоколадно 6 мес;кг;1;91.51;91.51;3.00;3.00
Асорті Європ. цукерки вагові 1,0кг Шоколадно 6 мес;кг;1;99.53;99.53;3.00;3.00
Асорті Класич цукерки вагові 1,7кг Шоколадно 6 мес;кг;1.7;90.22;153.37;10.20;6.00
Асорті Святков. цукер вагові 6*1кг Шоколадно 6 мес;кг;1;102.19;102.19;12.00;12.00
Білочка цукерки (вагові)1,7кг Шоколадно 6 мес;кг;1.7;65.00;110.50;34.00;20.00
Ведмедики цукерки (вагові)1,7кг Шоколадно 6 мес;кг;1.7;65.00;110.50;103.70;61.00
Веласко цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;96.85;164.65;5.10;3.00
Вершковий кокт. Бан.-Шок. цук ф/п1 ,7кгШоколадно;кг;1.7;93.34;158.68;59.50;35.00
Вершковий кокт. Пол-Вершки цук ф/п1 ,7кгШоколадно;кг;1.7;93.34;158.68;59.50;35.00
Вершковий кокт. Фіст-Карам. цук ф/п1 ,7кгШоколадно;кг;1.7;93.34;158.68;15.30;9.00
Горіхові мрії цукерки ваг. 1,7кг Шоколадно 6 мес;кг;1.7;143.00;243.10;15.30;9.00
Грильяж цукерки (вагова) 1,7кг Шоколадно 6 мес;кг;1.7;89.89;152.81; ; 
Гуцулочка цукерки (вагова) 1,7кг Шоколадно 6 мес;кг;1.7;81.58;138.69;15.30;9.00
Даринка цукерки (вагова)1,7кг Шоколадно 6 мес;кг;1.7;78.85;134.05;17.00;10.00
Казковий півник цукерки (ваг)1,5кг Шоколадно 6 мес;кг;1.5;77.48;116.22;3.00;2.00
Кармель цукерки (ваг)1,7кг Шоколадно 6 мес;кг;1.7;100.95;171.62;6.80;4.00
Кокос.десерт Бамбу ц-ки (ваг)1,7кг Шоколадно 6 мес;кг;1.7;95.43;162.23; ; 
Мануєль цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;95.43;162.23;15.30;9.00
Марічка цукерки вкус ром ф/п 1,5кг Шоколадно 6 мес;кг;1.5;77.48;116.22;1.50;1.00
Метеорит цукерки (вагова)1,7кг Шоколадно 6 мес;кг;1.7;84.37;143.43;8.50;5.00
Мигдалинка крем-брюле глаз. цукерки ф/п 1,7кг Шоко;кг;1.7;91.26;155.14;3.40;2.00
Мигдалинка мол.-шок. глаз.цук ф/п 1,7кг Шоколадно;кг;1.7;92.69;157.57;76.50;45.00
Мон Плезір цукерки ф/п 1,7кг Шоколадно;кг;1.7;96.85;164.65; ; 
Нівушка цукерки ф/п 1,7кг Шоколадно;кг;1.7;92.69;157.57;5.10;3.00
Паленсо Bar шокол-ваф. цукерки 1,4кг Шоколадно;кг;1.4;94.77;132.68; ; 
Смак кави цукерки (ваг)1,5кг Шоколадно 6 мес;кг;1.5;77.48;116.22;6.00;4.00
ФАСОВКА;;;;;;
Angella з ціл.миг.цук.(6*0,195кг)1,17кгШоколадно 6;кг;0.195;229.46;44.74; ; 
Angella зціл.миг.цук(17*0,195кг)3,315кгШоколадно 6;кг;0.195;257.47;50.21;12.48;64.00
Natella golden nut цукерки 12*0,250 кг Шоколадно 6;кг;0.25;163.74;40.94; ; 
"Provance ""ФАС"" цукерки ф/п 12*0,150 кг Шоколадно 6";кг;0.15;204.82;30.72; ; 
"Provance ""ФАС"" цукерки ф/п 12*0,200 кг Шоколадно 6";кг;0.2;197.07;39.41; ; 
"Provance ""ФАС"" цукерки ф/п 12*0,250 кг Шоколадно 6";кг;0.25;170.95;42.74; ; 
Асорті цукерки для героїв 12*0,250кг Шоколадно 6;кг;0.25;154.64;38.66;6.50;26.00
Казковий світ асорт цукерки 12*0,250кг Шоколадно 6;кг;0.25;154.64;38.66;7.75;31.00
Кокос.десерт Бамбу ц-ки 8*250г/2кг Шоколадно 6 мес;кг;0.25;141.05;35.26; ; 
"Цукерки ""Candy  mix"" 12*300г/ Шоколадно 6 мес";кг;0.3;156.26;46.88; ; 
Цукерки Асорті Грильяж 6*800г/ Шоколадно 6 мес;кг;0.8;91.51;73.21;4.00;5.00
Цукерки Паленсо bar  22*125г/ Шоколадно 6 мес;кг;0.125;162.11;20.26;6.38;51.00
Фрукт. грильяж  Чорнослив ц-ки ф/п 1,7кг Шоколадно;кг;1.7;92.69;157.57;3.40;2.00
Фрукт. грильяж Курагой ц-ки ф/п 1,7кг Шоколадно;кг;1.7;89.89;152.81; ; 
ШОКОЛАДНО ПЕЧИВО;;;;;;
Акція Печиво Асорті 0,8 кг Шоколадно;кг;0.8;0.01;0.01;5.60;7.00
Рулетик з м`якою карамеллю 1.2кг Шоколадно;кг;1.2;79.56;95.48;2.40;2.00
Рулетик з начин. фінік з вишнею 1.2кг Шоколадно;кг;1.2;79.56;95.48;3.60;3.00
Рулетик з шоколад.-фініков. начинк 1.2кг Шоколадно;кг;1.2;79.56;95.48;3.60;3.00
Цукровий хрустик печиво 1.3 кг Шоколадно;кг;1.3;58.11;75.54;1.30;1.00
Шоколадно з шок-гор. Печиво 1.4 кг Шоколадно;кг;1.4;71.89;100.65; ; 
