Прайс на дату: 10.03.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
"Насііння смажене ""Щелкунчики "" 60г* 50 шт.ТМ ""ОІ""";шт;1;3.71;3.71;2.00;2.00
"Павутинка  7 г* 130 шт.ТМ ""ОІ""";шт;1;5.85;5.85;34.00;34.00
"Павутинка з перцем 7 г* 130 шт.ТМ ""ОІ""";шт;1;5.02;5.02;75.00;75.00
"Сухар.пшен. Smile Бекон 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;20.00;20.00
"Сухар.пшен. Smile смет. и зелен. 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;26.00;26.00
"Сухарики житні Бекон 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;7.00;7.00
"Сухарики пшен.Червона ікра 35г*120шт ТМ ""ОІ""";шт;1;2.64;2.64;5.00;5.00
ОТТІМО ТМ;;;;;;
Кук.пал.солод. негл.з сюрп. ДІВЧАТА 90г /ТМ ОТТІМО;шт;1;9.49;9.49;421.00;421.00
Кук.пал.солод. негл.з сюрп. ХЛОПЦІ 90г /ТМ ОТТІМО;шт;1;9.49;9.49;489.00;489.00
Кук.пал.солод. СЮРПРИЗ ДІВЧАТА 120г*20 /ТМ ОТТІМО;шт;1;15.76;15.76;323.00;323.00
Кук.пал.солод. СЮРПРИЗ ХЛОПЦІ 120г*20 /ТМ ОТТІМО;шт;1;15.76;15.76;391.00;391.00
Кук.пал.солод.СЮРПРИЗ  ХЛОПЦІ  55г*30 /ТМ ОТТІМО;шт;1;7.73;7.73;295.00;295.00
Кук.пал.солод.СЮРПРИЗ ДІВЧАТА  55г*30 /ТМ ОТТІМО;шт;1;7.73;7.73;295.00;295.00
Кукур пал неглаз СМЕТАН та ЗЕЛЕН 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;272.00;272.00
Кукур пал неглаз ТЕЛЯТ та АДЖИКА 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;273.00;273.00
Кукур. пал. неглаз. БЕКОН 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;529.00;529.00
Кукур. пал. неглаз. ГРИБИ в СМЕТАНІ 45г /ТМ ОТТІМО;шт;1;4.28;4.28;364.00;364.00
