Прайс на дату: 09.12.18;;;;;;
;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расфас.)
"Ірисовий десерт п-во ф/п 2,3 кг ""Диканське""";кг;2.3;66.24;152.35;32.20;14.00
"Ліро Ірис 2,4 кг ""Диканське""";кг;2.4;56.72;136.12;33.60;14.00
"Малюки п-во 6 кг ""Диканське""";кг;6;34.20;205.18;18.00;3.00
"Маргаритка глаз. 1 кг ""Диканське"" ЕЗ";кг;1;68.97;68.97;16.00;16.00
"Маргаритка глаз. 2,5 кг ""Диканське"" ЕЗ";кг;2.5;66.24;165.60;55.00;22.00
"Мармеладка ""Малина""ф/п 2,5 кг ""Диканське""";кг;2.5;66.24;165.60;117.50;47.00
"Мохіто 0,9 кг ""Диканське"" Е4";кг;0.9;68.97;62.08;13.50;15.00
"Насолода молочно-горіхова п-во 1,8 кг ""Диканське""";кг;1.8;47.61;85.70;21.60;12:00
"Насолода шоколадно-горіхов п-во 1,8 кг ""Диканське""";кг;1.8;47.61;85.70;18.00;10.00
"Ніжність ароматна п-во 3,8 кг ""Диканське""";кг;3.8;48.02;182.49;72.20;19.00
"Нутель з мигдалем п-во 1,2 кг ""Диканське""";кг;1,2;82.80;99.36;4.80;4.00
"Нутель п-во 1,2 кг ""Диканське""";кг;1.2;71.79;86.15;50.40;42.00
"Поцілуйчики п-во 1,4 кг ""Диканське” Е4";кг;1.4;59.86;83.81;15.40;11.00
"Світлофор п-во 1,9 кг ""Диканське"" ЕЗ";кг;1.9;55.23;104.93;22.80;12.00
"Сієна 1 кг ""Диканське"" Е4";кг;1;68.06;68.06;3.00;3.00
"Сієна шоколад 1 кг ""Диканське"" Е4";кг;1;71.79;71.79;17.00;17.00
"Українське п-во 3,3 кг ""Диканське""";кг;3.3;31.71;104.65;52.80;16.00
"Українське п-во 5.2кг ""Диканське”";кг;5.2;30.39;158.02;62.40;12.00
юфасовка;;;;;;
"Диканське з родзинками фасоване 290г*24уп ""Диканс";шт;1;12.17;12 17;27.00;27.00
"Диканське фасоване 130г*45уп ""Диканське";шт;1;4.80;4.80;56.00;56.00
"Малюки фасоване 250г*27уп. ""Диканське""";шт;1;9.11;9.11;47.00;47.00
"Поцілунки фас. 180г*36уп. ""Диканське""";шт;1;8.45;8.45;4.00;4.00
"Фруктінка фасоване 162г*42уп ""Диканське одуїп ТОРГ";шт;1;8.61;8.61;48.00;48.00
ЗАХІД ТОРГ;;;;;;
Жув гум Stimorol original Мікс 10г*30б*20ш/ЗАХІД;блок;1;100.49;100.49;5.00;5.00
Жув.гум Stimorol Кавун original 20г*24б*20ш/ЗАХІД;блок;1;122.98;122.98;5.00;5.00
Жув.гум Stimorol полуниця 20г*24б*20ш/ЗАХІД;блок;1;122.98;122.98;12.00;12.00
Жув.гум Хуба буба бпл.Турб Микс 10г*30бл*20ш/ЗАХІД;блок;1;95.00;95.00;67.00;67.00
Жув.гумк в банке TURBO с наклейк 4г*6бл*300ш/ЗАХІД;блок;1;314.50;314.50;5.00;5.00
Жув.гумка Centr shock Кавун кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;12.00;12.00
Жув.гумка Centr shock Полун.кис4г*20бл.*100ш/ЗАХІД;блок;1;74.13;74.13;12.00;12.00
Жув.гумка JAW Сгакегтути-фрут24г*12бл.*24шт/ЗАХІД;блок;1;112.90;112.90;12.00;12.00
Жув.гумка Love is Нептун накл 4г*10бл.*100шт/ЗАХІД;блок;1;53.22;53.22;15.00;15.00
Жув.цук Love is 8*40 фрукт+тат20г*8бл.*40шт/ЗАХІД;блок;1;169.34;169.34;7.00;7.00
Жув.цук Мини Юм 6,7г*8бл.*120шт/ЗАХІД;блок;1;145.15;145.15;1.00;1.00
Жув.цук Скитлс фрукти 10ґ*20бл.*24шт/ЗАХІД;блок;1;118.54;118.54;10.00;10.00
Жув.цукерка Електро Шок 5г*20бл.*60шт/ЗАХІД;блок;1;82.25;82.25;10.00;10.00
Жуйка Веселий кавун 4,5г*15бан*150шт/ЗАХІД;блок;1;132.32;132.32;24.00;24.00
Леденець на палич.Фрутов Микс 13г*12бл.*48шт/ЗАХІД;блок;1;254.45;254.45;6.00;6.00
Лед-ць газиров НЕОН+сяюча пал.10г*24бл.*30шт/ЗАХІД;блок;1;114.51;114.51;18.00;18.00
Мармеладное асорти Джелопи 25г*8бл*36шт/ЗАХІД;блок;1;151.20;151.20;1.00;1.00
Пузирі громадна палка 40см*6уп*24шт/ЗАХІД;блок;1;612.86;612.86;3.00;3.00
Турбо спиннер + драже 2г*24бл.*30шт/ЗАХІД;блок;1;112.90;112.90;1.00;1.00
Цукерка Токсическ.слизь кисла 25г*30бл.*20шт/ЗАХІД;блок;1;88.66;88.66;17.00;17.00
Ласощі;;;;;;
Карамель Ласощі з начинкою МІКС 2,5кг/Ласощі/9міс;кг;2.5;49.40;123.50;22.50;9.00
Карамель Фруттіно Апельсин 2,5кг/ 45/1 Ласощі/9міс;кг;2.5;48.36;120.90;22.50;9.00
Карамель Фруттіно Вишня 2,5кг/46/1 Ласощі/9міс;кг;2.5;48.36;120.90;20.00;8.00
Карамель Фруттіно Малина 2,5кг/ 53-1 Ласощі/9міс;кг;2.5;48.36;120.90;12.50;5.00
Карамель Фруттіно Мікс з начинк 2,5кг/ Ласощі/9міс;кг;2.5;49.40;123.50;7.50;3.00
Карамель Фруттіно Персик 2,5кг/48/1 Ласощі/9міс;кг;2.5;48.36;120.90;25.00;10.00
