Прайс на дату: 17.02.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Стимул;;;;;;
"АКЦІЯ Арахіс Рижик тип карам0,8кг/ КФ""Стимул""(569)";кг;0.8;0.01;0.01;2.40;3.00
"АКЦІЯ Ромашка Стимул цук. гл.0,4кг КФ""Стимул""(557)";кг;0.4;0.01;0.01;18.00;45.00
"Арахіс Жарений 1,5кг КФ ""Стимул""(562)";кг;1.5;99.67;149.51; ; 
"Арахіс Рижик 1,5кг КФ ""Стимул""(435)";кг;1.5;63.06;94.59;117.00;78.00
"Арахіс Рижик 3кг КФ ""Стимул""(68)";кг;3;63.06;189.19;57.00;19.00
"Арахіс Солоний 1,5кг КФ ""Стимул""(434)";кг;1.5;88.45;132.68; ; 
"Арахіс у кунжуті 1,5кг КФ""Стимул""(307)";кг;1.5;103.77;155.65;9.00;6.00
"Арахісовий набір 3,0кг КФ ""Стимул""(487)";кг;3;72.48;217.44; ; 
"Аркадія глазур. желейн цукер.1,5кг КФ""Стимул""(469)";кг;1.5;84.68;127.03;3.00;2.00
"Бананові глаз. збив. цукер. 1,1кг КФ""Стимул""(150)";кг;1.1;71.91;79.10; ; 
"Вафлі ""Артек"" 4,5кг КФ ""Стимул""(329)";кг;4.5;49.55;222.97;27.00;6.00
"Вафлі ""Вершкові"" 4,5кг КФ ""Стимул""(330)";кг;4.5;59.62;268.30;85.50;19.00
"Вафлі ""Лимонні"" 4,5кг КФ ""Стимул""(376)";кг;4.5;51.92;233.66;22.50;5.00
"Вафлі ""Пломбір"" 4,5кг КФ ""Стимул""(353)";кг;4.5;58.23;262.04;63.00;14.00
"Віденська глазуров. цукерк. 1,5кг КФ""Стимул""(809)";кг;1.5;81.74;122.60; ; 
"Віночок желейн. глазур. цукер. 2кг КФ""Стимул""(793)";кг;2;76.90;153.81;8.00;4.00
"Грильяж Лакомка 1,5кг КФ""Стимул""(626)";кг;1.5;79.93;119.90; ; 
"Гулівер цукерки 3,0кг КФ""Стимул""(337)";кг;3;71.01;213.02;96.00;32.00
"До кави набір цукерок 3кг  КФ""Стимул""(491)";кг;3;78.46;235.38; ; 
"До чаю набір цукерок 3кг  КФ""Стимул""(513)";кг;3;87.63;262.90; ; 
"Драже ""Арахіс у как-порошк"" 2кг КФ""Стимул""(265)";кг;2;76.33;152.66;6.00;3.00
"Драже Желейне ""Холодок"" 1,3кг КФ""Стимул""(637)";кг;1.3;49.47;64.31;15.60;12.00
"Драже набір №2  4кг КФ""Стимул""(744)";кг;4;65.68;262.74; ; 
"Драже""Морські камінці"" 2кг КФ""Стимул""(292)";кг;2;68.22;136.45;18.00;9.00
"Драже""Соняшн. у как-порош."" 2кг КФ""Стимул""(266)";кг;2;53.15;106.31; ; 
"Еспресо цукерки 1,5кг КФ""Стимул""(336)";кг;1.5;83.87;125.80; ; 
"Еспресо цукерки 3,5кг КФ""Стимул""(506)";кг;3.5;71.19;249.17;77.00;22.00
"Зефір ""Берізка"" 0,7кг КФ""Стимул""(397)";кг;0.7;77.23;54.06;6.30;9.00
"Зефір ""Біло-рожевий"" 2,5кг КФ""Стимул""(72)";кг;2.5;53.15;132.88;100.00;40.00
"Зефір ""Глясе"" 1,2кг КФ""Стимул""(482)";кг;1.2;67.32;80.79;24.00;20.00
"Зефір ""З аром. малин та верш""1,2кг/КФ""Стимул""(546)";кг;1.2;66.58;79.90; ; 
"Зефір ""У глазурі"" 2,4кг КФ""Стимул""(74)";кг;2.4;76.09;182.60;62.40;26.00
"Зефір ""Чарівна паличка"" 1,8кг КФ""Стимул""(288)";кг;1.8;80.59;145.06; ; 
"Зимова Вишня цукер. 1,7кг КФ""Стимул""(701)";кг;1.7;110.07;187.13;49.30;29.00
"Ірис ""Золотий ключик"" 2кг КФ""Стимул""(31)";кг;2;63.14;126.29;14.00;7.00
"Ірис Вершковий  1,4кг КФ""Стимул""(684)";кг;1.4;54.87;76.82;18.20;13.00
"Капучино цукерки 1,5кг КФ""Стимул""(416)";кг;1.5;77.56;116.34;12.00;8.00
"Карамель м`яка ""Tofisha"" 1,8кг КФ""Стимул""(781)";кг;1.8;60.61;109.09;27.00;15.00
"Козинак Соняшник 1,5кг КФ""Стимул""(395)";кг;1.5;74.77;112.16; ; 
"Козинак Соняшник 2,5кг КФ""Стимул""(707)";кг;2.5;60.28;150.70;25.00;10.00
"Компот желейні глазур. цукер.3,0кгКФ""Стимул""(480)";кг;3;82.23;246.68;30.00;10.00
"Корівка цукерки"" 1,5кг КФ""Стимул""(620)";кг;1.5;64.13;96.19;24.00;16.00
"Лукум східні солодощі 1,3кг КФ""Стимул""(311)";кг;1.3;68.47;89.01;5.20;4.00
"Мармелад ""Желейн. формов."" 1,9кг КФ""Стимул""(281)";кг;1.9;56.02;106.44;1.90;1.00
"Мармелад ""Лимон-апельс дольк""1,8кг КФ""Стимул""(283)";кг;1.8;57.49;103.49;25.20;14.00
"Мармелад ""Равлик"" 3,0кг КФ""Стимул""(14)";кг;3;58.80;176.41;30.00;10.00
"Мармелад ""Славутич"" 2,7кг КФ""Стимул""(93)";кг;2.7;56.76;153.24;16.20;6.00
"Мармелад ""Цитрус"" 0,95кг КФ""Стимул""(450)";кг;0.95;93.12;88.46; ; 
"Мармелад ""Ягідка"" 1,5кг КФ""Стимул""(69)";кг;1.5;99.67;149.51;15.00;10.00
"Мармелад""Желейн. форм. глаз"" 1,5кг КФ""Стимул""(287)";кг;1.5;67.98;101.97;15.00;10.00
"Наталка-Полтавка цукерки 1,7кг КФ""Стимул""(456)";кг;1.7;84.93;144.38;3.40;2.00
"Оксамитова ніч цукерки1,7кг КФ""Стимул""(703)";кг;1.7;116.87;198.68;10.20;6.00
"Празька глазуров. цукерк. 1,5кг КФ""Стимул""(810)";кг;1.5;81.74;122.60; ; 
"Рахат-лукум асорті 2,5кг КФ""Стимул""(402)";кг;2.5;47.67;119.16; ; 
"Ромашка Стим. цук. глаз. пом.1,7кг КФ""Стимул""(455)";кг;1.7;65.77;111.80;28.90;17.00
"Ромашка Стим. цук. глаз. пом.3,6кг КФ""Стимул""(475)";кг;3.6;65.27;234.99;3.60;1.00
"Світ Суфле глазур. цукерк. 2.2кг КФ""Стимул""(712)";кг;2.2;89.52;196.94;41.80;19.00
"Солоденька Му мол-жел. цук. 1,7кг КФ""Стимул""(608)";кг;1.7;67.81;115.28;11.90;7.00
"Сонячн. Віночок цукер. 2кг КФ""Стимул""(132)";кг;2;79.85;159.71; ; 
"Столичні цукерки"" 1,35кг КФ""Стимул""(313)";кг;1.35;90.09;121.62; ; 
"Стріла Дніпровська цукер. 1,1кг КФ""Стимул""(321)";кг;1.1;101.56;111.71;1.10;1.00
"Стріла Дніпровська. цукер. 2кг КФ""Стимул""(88)";кг;2;100.25;200.49; ; 
"Цук глаз. із зірв.круп НAPPY 2.2кг КФ""Стимул""(812)";кг;2.2;107.78;237.12;57.20;26.00
"Цук глазур. збивні Tenerife 1,9кг КФ""Стимул""(747)";кг;1.9;86.24;163.86;20.90;11.00
"Цук. глаз. пом - жел. ""Боне"" 1,7кг КФ""Стимул""(725)";кг;1.7;103.11;175.29;44.20;26.00
"Цук. двош. пом - жел. ""Kiss"" 1,8кг КФ""Стимул""(800)";кг;1.8;98.94;178.08;3.60;2.00
"Цук. желейн. ""Мікс фруктов."" 1,8кг КФ""Стимул""(451)";кг;1.8;76.90;138.43; ; 
"Цук.Мол-жел з арах. WOW глаз.1,3кг КФ""Стимул""(672)";кг;1.3;84.42;109.75;59.80;46.00
"Цукерковий набір 3,6 кг КФ""Стимул""(459)";кг;3.6;85.83;308.99; ; 
я Фасовка;;;;;;
"Драже желейн.""Like Холодок""фас. КФ""Стимул""(649)";шт;1;3.69;3.69;54.00;54.00
"Драже""Like Арах.у как-пор."" 0,05кг КФ""Стимул""(647)";шт;1;4.45;4.45; ; 
"Драже""Like Арахіс Рижик"" 0,05кг КФ""Стимул""(670)";шт;1;4.26;4.26; ; 
"Драже""Like Веселка"" 0,06кг КФ""Стимул""(669)";шт;1;5.00;5.00; ; 
"Драже""Like Мікс"" 0,05кг КФ""Стимул""(650)";шт;1;3.52;3.52; ; 
"Драже""Like Морськ. камінц"" 0,06кг КФ""Стимул""(648)";шт;1;4.83;4.83;32.00;32.00
"Еспресо цукерки 0,175кг КФ""Стимул""(333)";шт;1;20.48;20.48;21.00;21.00
