Прайс на дату: 08.07.18;;;;;;
Name;unit;packaging ;priceForUnit;priceForPacaging;stockBalanceInUnit;stockBalanceInPacaging
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Карамель Ласощі Барбариска 2,5кг/ 37 Ласощі/9міс;кг;2.5;44.98;112.45;45.00;18.00
Карамель Ласощі Льодяникова МІКС 2,5кг/Ласощі/9міс;кг;2.5;45.89;114.73;40.00;16.00
Карамель Ласощі Персик 2,5кг/ 48 Ласощі/9міс;кг;2.5;44.98;112.45;15.00;6.00
Карамель Ласощі Чорна смород 2,5кг/50Ласощі/9міс;кг;2.5;44.98;112.45;7.50;3.00
"Карамель М""ятна 2,5кг/ 40 Ласощі/9міс";кг;2.5;44.98;112.45;25.00;10.00
Карамель Фруттіно Апельсин 2,5кг/ 45/1 Ласощі/9міс;кг;2.5;44.98;112.45;15.00;6.00
Карамель Фруттіно Малина 2,5кг/ 53-1 Ласощі/9міс;кг;2.5;44.98;112.45;20.00;8.00
Карамель Фруттіно Мікс з начинк 2,5кг/ Ласощі/9міс;кг;2.5;45.89;114.73;190.00;76.00
КарамельФруттіно Ч/смородина 2,5кг/50/1Ласощі/9міс;кг;2.5;44.98;112.45;22.50;9.00
Ласощі з начинкою МІКС 2,5кг/Ласощі/9міс;кг;2.5;45.89;114.73;150.00;60.00
Фруктово-ягідна в цукрі 2,5кг/ Ласощі/міс;кг;2.5;43.10;107.75;67.50;27.00
ЛІСОВА КАЗКА;;;;;;
WHIMSY банан (Смешарики) ВАФ.ц-ки 2,2кг /ТМ ЛК;кг;2.2;76.93;169.25;39.60;18.00
WHIMSY зі смаком Паннакотти ц-ки 2,2кг /ТМ ЛК;кг;2.2;71.26;156.77;8.80;4.00
WHIMSY зі смаком Шарлотки ц-ки 2,2кг /ТМ ЛК;кг;2.2;71.26;156.77;28.60;13.00
Ананасні цукерки екран 2,2кг /ТМ ЛК;кг;2.2;73.10;160.82;15.40;7.00
Вафлі Лісові з аром. лимона 3,5 кг  /ТМ ЛК;кг;3.5;49.08;171.78;35.00;10.00
Ведмедик клишоногий  цукерки ваф.2,2кг екр. /ТМ ЛК;кг;2.2;71.26;156.77;52.80;24.00
Веселий гулівер цукерки 2,2кг /ТМ ЛК;кг;2.2;68.47;150.63;13.20;6.00
Веселий гулівер цукерки екран 2,2кг /ТМ ЛК;кг;2.2;69.35;152.57;30.80;14.00
Зефір жув. Тучки 1,05кг  /ТМ ЛК;кг;1.05;96.80;101.64;23.10;22.00
Зефір жув. Тучки 1,2кг  /ТМ ЛК;кг;1.2;88.02;105.62;13.20;11.00
Зірочки Бекон фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;79.20;95.04;117.60;98.00
Кільця ГРИБИ  фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;79.20;95.04;51.60;43.00
Крекер брезель з сіллю 1,5кг /ТМ ЛК;кг;1.5;51.07;76.61;39.00;26.00
Кульок МЯСО фіг.вир.солоні Mr.CORN 1,2кг /ТМ ЛК;кг;1.2;79.20;95.04;94.80;79.00
Лісова казка цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;67.59;148.70;30.80;14.00
Млинці Пан Кейк вишня 1кг /ТМ ЛК;кг;1;67.83;67.83;8.00;8.00
Млинці Пан Кейк молоко  1кг /ТМ ЛК;кг;1;67.83;67.83;8.00;8.00
Мультісі КОКОС-ВЕРШКИ цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;71.26;156.77;28.60;13.00
Набір Ярин.Чар.б Вес.г.Шик цу-ки.2,2кг екр. /ТМ ЛК;кг;2.2;71.26;156.77;6.60;3.00
Подушечки  круп'яні  банан  1,8кг /ТМ ЛК;кг;1.8;52.35;94.23;10.80;6.00
Подушечки круп'яні  шоколад 1,8кг /ТМ ЛК;кг;1.8;52.35;94.23;32.40;18.00
Супермультісі асорті  цукерки 6*1,0кг/6кг /ТМ ЛК;кг;1;74.77;74.77;10.00;10.00
Трубочки ваф. Капучіно 2,5кг /ТМ ЛК;кг;2.5;60.65;151.63;37.50;15.00
Трубочки ваф. Молочні 2,5кг /ТМ ЛК;кг;2.5;60.65;151.63;22.50;9.00
Трубочки ваф. Чорного шок. та вишні  2,0кг /ТМ ЛК;кг;2;60.65;121.30;38.00;19.00
Трубочки ваф. Чорного шок. та молока  2,0кг /ТМ ЛК;кг;2;60.65;121.30;26.00;13.00
Цукерки жуйні ФіксіМіх 6*1кг/6кг  /ТМ ЛК;кг;1;89.37;89.37;3.00;3.00
яфасовка;;;;;;
Зефір жув. Mini Mallows пломбір 4*0.8кг*3,2к/ТМ ЛК;шт;1;126.40;126.40; ; 
Зефір жув. Multicored аром. 4*0.8кг*3,2к/ТМ ЛК;кг;3.2;168.54;539.33;12.80;4.00
Зефір жув. Вес.пружин.ПОЛУН.10*0,200/2кг  /ТМ ЛК;шт;1;17.60;17.60;55.00;55.00
Зефір жув. Вес.пружин.ПОЛУН.20*0,075/1,5кг  /ТМ ЛК;шт;1;7.26;7.26;78.00;78.00
"Зефір жув. Тучки-штучки аромат.10*200г;2кг/ТМ ЛК";шт;1;17.61;17.61;11.00;11.00
"Зефір жув. Тучки-штучки аромат.20*75г;1,5кг /ТМ ЛК";шт;1;7.26;7.26;27.00;27.00
"Зефір жув.Дозки аромат.20*50г; 1кг /ТМ ЛК";шт;1;5.43;5.43;83.00;83.00
Зефір жув.Дозки аромат.6*(6*50г) 1,8кг /ТМ ЛК;блок;1;32.58;32.58;23.00;23.00
Зефір жув.Земирозиво пол.+бан20*(6*15г)1,8кг/ТМ ЛК;блок;1;19.14;19.14;152.00;152.00
Зефір жув.Пружинка ПЕРСИК 4-(20*15г) 1,2кг /ТМ ЛК;блок;1;57.40;57.40;3.00;3.00
Зефір жув.Пружинка ПОЛУНИЦЯ4-(20*15г) 1,2кг /ТМ ЛК;блок;1;57.40;57.40;2.00;2.00
Зефір жув.Фіксі Mallows абрикос 24*30г*0,720/ТМ ЛК;шт;1;4.39;4.39;131.00;131.00
Зефір жув.Фіксі Mallows пломбір 24*30г*0,720/ТМ ЛК;шт;1;4.39;4.39;88.00;88.00
Зефір жув.Фіксі Mallows полун. 24*30г*0,720/ТМ ЛК;шт;1;4.39;4.39;28.00;28.00
"Карамель льод.Фіксики"" 8-0,9кг(30*30г) 7,2кг/ТМ ЛК";блок;1;119.70;119.70;8.00;8.00
Крекер брезель СІЛЬ  20*200 г*4кг/ТМ ЛК;шт;1;12.77;12.77;184.00;184.00
"Млинці  ФІКСІ КЕЙК молоко 4*(20*40);3,2кг/ТМ ЛК";блок;1;84.60;84.60;16.00;16.00
"Млинці  ФІКСІ КЕЙК полуниця 4*(20*40);3,2кг/ТМ ЛК";блок;1;84.60;84.60;12.00;12.00
Набір зеф.жув Асортимент №2 21*0,75кг*1,575 /ТМ ЛК;шт;1;7.26;7.26;15.00;15.00
"Торт ""Натусик"" фундук 6*(12*45г)-3,24кг  /ТМ ЛК";блок;1;63.24;63.24;7.00;7.00
"Фартики -змійки цукерки желе ТУБ 6*0,5;3кг  /ТМ ЛК";шт;1;59.85;59.85;16.00;16.00
"Фартики -черв'яки цукерки желе 6*0,5;3кг  /ТМ ЛК";шт;1;59.85;59.85;20.00;20.00
ЛІСОВА КАЗКА (АКЦІЯ);;;;;;
WHIMSY молочні  (Фіксики) ВАФ.ц-ки 2,2кг /ТМ ЛК;кг;2.2;62.50;137.50;167.20;76.00
Тузик цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;55.00;121.00;99.00;45.00
Чарівне більчатко з арах. ц-ки екран 2,2кг /ТМ ЛК;кг;2.2;62.50;137.50;17.60;8.00
Шиколетто згущ.молоко  цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;55.00;121.00;54.00;24.55
Шиколетто какао цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;55.00;121.00;59.40;27.00
Яринка цукерки 2,2кг /ТМ ЛК;кг;2.2;55.00;121.00;88.00;40.00
Нектар-2 Кондитерська фабрика ТОВ;;;;;;
Вафлі глазуровані Алекс 3кг/Нектар 6міс;кг;3;62.93;188.80;93.00;31.00
Вафлі глазуровані Казковий Гулівер 3кг/Нектар 6міс;кг;3;62.93;188.80;60.00;20.00
Вафлі глазуровані Немо 3кг/Нектар 6міс;кг;3;62.93;188.80;90.00;30.00
Молочні  вафлі 4кг/Нектар 6міс;кг;4;46.13;184.53;20.00;5.00
Сергис;;;;;;
Аромат миндаля печиво 3,0кг Сергис;кг;3;44.55;133.66;12.00;4.00
Ассорти №1 печиво 0,8кг Сергис 45дн;кг;0.8;51.48;41.18;0.80;1.00
Ассорти №2 печиво 0,8кг Сергис;кг;0.8;48.05;38.44;1.60;2.00
Ассорти №3 печиво 0,8кг Сергис;кг;0.8;51.79;41.43;12.00;15.00
Ассорти №4 печиво 0,7кг Сергис;кг;0.7;53.50;37.45;9.10;13.00
Вівсяне печиво 2,5кг Сергис;кг;2.5;31.20;78.00;10.00;4.00
Дюймовочка печиво 2,5кг Сергис;кг;2.5;43.68;109.20;35.00;14.00
Капитошка печиво 2,5кг Сергис;кг;2.5;50.30;125.74;10.00;4.00
Магнолія печиво 3кг Сергис;кг;3;48.80;146.41;27.00;9.00
Маренга в ассортименті печиво 1,2кг Сергис 60дн;кг;1.2;53.17;63.80;30.00;25.00
Минутка печиво 2,5кг Сергис;кг;2.5;40.56;101.40;5.00;2.00
Монро печиво (безе) 1,2кг Сергис;кг;1.2;54.67;65.60;10.80;9.00
Пчелка Тістечко 1,5кг Сергис 30дн;кг;1.5;67.78;101.68;18.00;12.00
Сашенька тістечко 1,5 кг Сергис;кг;1.5;53.78;80.68;3.00;2.00
Святкове печиво 1,5кг Сергис 60дн;кг;1.5;47.18;70.77;15.00;10.00
Серденько печиво 1,35 кг Сергис;кг;1.35;54.29;73.29;8.10;6.00
Чебурашка тістечко 1,5 кг Сергис;кг;1.5;55.73;83.59;6.00;4.00
Штрудель курага тістечко 1,5кг Сергис;кг;1.5;68.69;103.03;3.00;2.00
ТМ R&V(леденец);;;;;;
Букви 30г 2-ох кол. (30шт/1уп) /ТМ R&V;блок;1;114.58;114.58;4.00;4.00
Дін Дон  в тубусі 30г (12шт/1уп) /ТМ R&V;блок;1;44.20;44.20;2.00;2.00
Зайчики кольорові  30г (30шт/1уп) /ТМ R&V;блок;1;107.48;107.48;16.00;16.00
Зайчики кольорові  30г (60шт/1уп) /ТМ R&V;блок;1;210.60;210.60;7.00;7.00
Звірята 30г (30шт/1уп) /ТМ R&V;блок;1;107.48;107.48;11.00;11.00
ЛІХТАРИКИ вагові 1кг/ТМ R&V;блок;1;103.74;103.74;25.00;25.00
Льдяник кольор.СМАЙЛИК 30г (40шт/1уп) /ТМ R&V;блок;1;139.93;139.93;11.00;11.00
Льдяник Монпасье 0,9кг (12шт) /ТМ R&V;блок;1;40.95;40.95;6.00;6.00
Льдяник Монпасье в тубусі 30г (12шт/1уп) /ТМ R&V;блок;1;44.50;44.50;158.00;158.00
Льдяник-ЛІХТАР Машина мала 12г (100шт/1уп) /ТМ R&V;блок;1;203.14;203.14;18.00;18.00
Льдяник-ЛІХТАРИКИ відерце 12г (150шт/1уп) /ТМ R&V;блок;1;232.70;232.70;17.00;17.00
Льдяник-ЛІХТАРИКИ кошичокМ 12г (150шт/1уп) /ТМ R&V;блок;1;204.75;204.75;21.00;21.00
Льдяник-ЛІХТАРИКИ самоскид 12г (150шт/1уп) /ТМ R&V;блок;1;269.75;269.75;6.00;6.00
Льдяник-ЛІХТАРИКИ тубус 12г (140шт/1уп) /ТМ R&V;блок;1;191.10;191.10;22.00;22.00
Мемедики 30г (30шт/1уп) /ТМ R&V;блок;1;107.48;107.48;15.00;15.00
Півники 30г (30шт/1уп) /ТМ R&V;блок;1;107.48;107.48;12.37;12.37
Півники 80г (30шт/1уп) /ТМ R&V;блок;1;263.64;263.64;9.00;9.00
Півники 80г + іграшка  (30шт/1уп) /ТМ R&V;блок;1;438.75;438.75;16.00;16.00
Півники двохкольорові 30г (30шт/1уп) /ТМ R&V;блок;1;114.58;114.58;8.00;8.00
Ромашка 2-ох кол. 40г (40шт/1уп) /ТМ R&V;блок;1;199.16;199.16;3.00;3.00
Серце 55г (15шт/1уп) /ТМ R&V;блок;1;90.68;90.68;11.00;11.00
Фіксики 40г (40шт/1уп) /ТМ R&V;блок;1;182.52;182.52;13.23;13.23
ТМ Вкусний мир;;;;;;
Баранка з маком на в 'язці  3,0кг /ТМ Вкусний мир;кг;3;35.60;106.81;9.00;3.00
Сухарі з родзинками Київські  5кг /ТМ Вкусний мир;кг;5;34.57;172.85;75.00;15.00
Сухарі Колобок в цукрі  5кг /ТМ Вкусний мир;кг;5;34.09;170.44;25.00;5.00
Сушка Тавр.Кроха з кунж.1,5кг /ТМ Вкусний мир;кг;1.5;45.30;67.95;7.50;5.00
ФАС Сушка Малютка 300г /ТМ Вкусний мир;шт;1;10.75;10.75;40.00;40.00
ТМ Конфеті;;;;;;
Акція Дніпро печиво 1,0 кг/ТМ Конфеті;кг;1;0.01;0.01;33.00;33.00
Акція Кукурудзяне  печиво 1,0 кг/ТМ Конфеті;кг;1;0.01;0.01;50.00;50.00
Акція Чик-чик печиво 1,0 кг/ТМ Конфеті;кг;1;0.01;0.01;21.00;21.00
Американер карамельний  печиво 2,0 кг/ТМ Конфеті;кг;2;69.54;139.08;6.00;3.00
Віват печиво 2,7 кг/ТМ Конфеті;кг;2.7;56.70;153.09;24.30;9.00
Каприз печиво 2,кг/ТМ Конфеті;кг;2;57.02;114.05;14.00;7.00
Сирне печиво 1,7 кг/ТМ Конфеті;кг;1.7;63.50;107.96;6.80;4.00
ФАС Міні гріс. ваніль 0,2кг/ТМ Конфеті;шт;1;8.39;8.39;2.00;2.00
Чик-чик печиво 1,0 кг/ТМ Конфеті;кг;1;43.55;43.55;11.00;11.00
Фараон;;;;;;
Драже JOJO Любов це СМС  3гр*36бл*60штФараон;блок;1;41.06;41.06;17.00;17.00
